Verify rank,Business,Category,Owner,Phone,Email,Website,Yelp URL,Response Time,resp_hours,GHL status,GHL contact,Old likelihood,Score v2,Score reasons,Advertiser? (Kevin),Recent RAQs (Kevin),Verdict (keep/drop)
11,Envirogreen Landscape Design - Build,Landscaping,Grayson or Sean M.,(602) 403-0311,info.envirogreenaz@gmail.com,Not provided,https://www.yelp.com/biz/envirogreen-landscape-design-build-scottsdale,3 hrs,3,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/MtsFW2czNmi5dULMPfdI,4,90,"responds in 3h (+20); phone (+15); email (+15); website (+10); sequence finished, warm (+20)",,,
12,Phoenix Handyman Home Repair,Handyman & Home Repair,Joe Vaughan,(602) 550-2139,phoenixhomerepair21@gmail.com,https://www.phoenixhandymanhomerepair.com/,,"3+ hours (Single owner operation, available weekends for emergency)",3,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/lKmYr0ssB9EH3sCivfF3,5,90,"responds in 3h (+20); phone (+15); email (+15); website (+10); sequence finished, warm (+20)",,,
13,Sky View Window Cleaning LLC,Window Cleaning,Luis,(623) 349-7012,,skyviewwindowcleaningllc.com,https://www.yelp.com/biz/sky-view-window-cleaning-phoenix-4,1 day,24,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/ePxWCWqR2LrRWnXxpFU1,4,90,"responds in 1d (+40); phone (+15); website (+10); in GHL, never emailed (+15)",,,
14,Spectrum Shades and Shutters,Shades & Blinds,George Lay,(602) 704-5828,,https://spectrumshadesandshutters.com/,https://www.yelp.com/biz/spectrum-shades-and-shutters-phoenix,1 day,24,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/BR6gMAyhcfeoOUBl2MVb,4,90,"responds in 1d (+40); phone (+15); website (+10); in GHL, never emailed (+15)",,,
15,Handyman Pro Solutions,Handyman,Pepe R.,(480) 369-8794,,Not available,https://www.yelp.com/biz/handyman-pro-solutions-phoenix-2,3 days,72,not_in_ghl,,3,85,responds in 3d (+40); phone (+15); website (+10); not in GHL yet (+10),,,
16,HM Flooring Group,Flooring,Oscar M.,(602) 767-2500,,hmflooringgroup.com,https://www.yelp.com/biz/hm-flooring-group-phoenix,1 day,24,not_in_ghl,,3,85,responds in 1d (+40); phone (+15); website (+10); not in GHL yet (+10),,,
17,MAJ Countertops,Countertop Installation,Jonathan G.,(480) 650-6156,,,https://www.yelp.com/biz/maj-countertops-phoenix-2,1 day,24,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/a6PjVDieoV4DwhGhMsaD,4,85,"responds in 1d (+40); phone (+15); sequence finished, warm (+20)",,,
18,Arizona Window Covering Company,Shades & Blinds,,602-600-0206,office@arizonawcc.com,https://arizonawcc.com,,Unknown - needs verification,,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/rNhZBn7rwwW0fjZv1MZV,4,80,"response unknown (+10); phone (+15); email (+15); website (+10); sequence finished, warm (+20)",,,
19,Copper State Home Maintenance & Repair,Plumbers,Michael D.,(602) 570-4476,,copperstatehandymanservices.com,https://www.yelp.com/biz/copper-state-home-maintenance-and-repair-phoenix,6 hours,6,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/P6tnrd5FLkokN2WVpQbH,4,80,"responds in 6h (+30); phone (+15); website (+10); in GHL, never emailed (+15)",,,
20,Fireside Pools,Pool Remodeling,Crystal Pereira P.,(480) 239-2087,,firesideazpools.com,https://www.yelp.com/biz/fireside-pools-phoenix,11 hours,11,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/optvXqQPqAOIpsqFdWGk,4,80,"responds in 11h (+30); phone (+15); website (+10); in GHL, never emailed (+15)",,,
21,Rite Way,HVAC/Plumbing,R. Walter W.,(602) 889-8600,,ritewayaz.com,https://www.yelp.com/biz/rite-way-gilbert-2,7 hours,7,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/b7Z8uPsAsQBzjoLHxlWL,4,80,"responds in 7h (+30); phone (+15); website (+10); in GHL, never emailed (+15)",,,
22,SJ Professional Window Cleaning,Window Cleaning,,(602) 899-6346,,,,4 days,96,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/9RQX66AnHeETCNMa7Aiw,3,80,"responds in 4d (+40); phone (+15); in GHL, never emailed (+15)",,,
23,Turf Monsters,Landscaping,Not provided,Not provided,,Not available,https://www.yelp.com/biz/turf-monsters-phoenix,6 hours,6,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/PrKL1JoFZzV8zWKnjfZL,4,80,"responds in 6h (+30); phone (+15); website (+10); in GHL, never emailed (+15)",,,
24,Arizona Tree Works,Tree Service,,602-596-4447,info@arizonatreeworks.com,https://arizonatreeworks.com/,,45 minutes,0.8,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/ibtgpANIDxYt77o2XL3A,5,75,"responds in 0.75h, already fast (+5); phone (+15); email (+15); website (+10); sequence finished, warm (+20)",,,
25,Desert Diamond Air,HVAC,Carlo C.,(602) 535-8988,desertdiamondair@gmail.com,desertdiamondhvac.com,https://www.yelp.com/biz/desert-diamond-air-phoenix,2 hours,2,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/MYEW0wCrYTA4Rws6A9nC,5,75,"responds in 2h, already fast (+5); phone (+15); email (+15); website (+10); sequence finished, warm (+20)",,,
26,Divine Design Landscaping,Landscapers,Nathan M.,(602) 704-0821,,divinedesignlawncare.com,https://www.yelp.com/biz/divine-design-landscaping-phoenix,5 hours,5,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/Vf39EfSAnw43GO5ahARz,4,75,"responds in 5h (+20); phone (+15); website (+10); sequence finished, warm (+20)",,,
27,Exact Building,General Contractor,,(602) 421-8199,,,https://www.yelp.com/biz/exact-building-phoenix,4 days,96,not_in_ghl,,3,75,responds in 4d (+40); phone (+15); not in GHL yet (+10),,,
28,Miko LLC,General Contractor,Not specified,(602) 888-2826,info@mikollc.com,https://mikollc.com/,Not available - found via Google search,Not specified (assumed >2 hours),2,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/mrLSOTV9wHQCjMVLg4u6,5,75,"responds in 2h, already fast (+5); phone (+15); email (+15); website (+10); sequence finished, warm (+20)",,,
29,Nico's Landscaping,Landscaping,Not available,Not available,,Not available,https://www.yelp.com/biz/nicos-landscaping-avondale-3,6 hrs,6,not_in_ghl,,3,75,responds in 6h (+30); phone (+15); website (+10); not in GHL yet (+10),,,
30,Rebuild Arizona Construction,General Contractors/Handyman,Maisa A.,602-574-1100,,Not available,https://www.yelp.com/biz/rebuild-arizona-construction-phoenix-2,8 hrs,8,not_enrolled,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/Xpy1wlMDlcNNjAcIaYZQ,4,75,"responds in 8h (+30); phone (+15); website (+10); in GHL, not enrolled (+10)",,,
31,RN Landscape,Landscaping,Reynaldo Nicolas,(602) 423-8278,,,https://www.yelp.com/biz/rn-landscape-phoenix-2,1 day,24,not_in_ghl,,3,75,responds in 1d (+40); phone (+15); not in GHL yet (+10),,,
32,Detail Boss,Mobile Auto Detailing,Christian and Chris P.,(480) 823-5858,,scottsdalecardetailing.com,https://www.yelp.com/biz/detail-boss-scottsdale-3,12 hours,12,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/rZJjE5RU7hOzlb2wzqB7,4,73,"responds in 12h (+30); phone (+15); website (+10); category 'Mobile Auto Detailing' outside core trades (+3); in GHL, never emailed (+15)",,,
33,"About Blind Cleaning, Inc",Blind & Window Cleaning Services,Jim (Owner mentioned in reviews),(602) 404-7250,,https://www.blindcleaningarizona.com/,,4+ hours (Limited business hours Mon-Fri 10am-4pm),4,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/5vJk9hWY63bE1ec80EfD,4,70,"responds in 4h (+20); phone (+15); website (+10); in GHL, never emailed (+15)",,,
34,Arizona Window Coverings Center,Window Treatment Store,,(602) 223-1173,office@arizonawcc.com,,,Not specified,,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/rNhZBn7rwwW0fjZv1MZV,5,70,"response unknown (+10); phone (+15); email (+15); sequence finished, warm (+20)",,,
35,Desert Blind and Shutter Repair,Window Blinds & Shutters,Heath Eisweirth,(623) 759-5583,,https://www.desertblindandshutterrepair.com,https://www.yelp.com/biz/desert-blind-and-shutter-repair-phoenix,3 hours,3,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/oaxaFDaAOX15DJvuAXUT,3,70,"responds in 3h (+20); phone (+15); website (+10); in GHL, never emailed (+15)",,,
36,Granado's Landscaping,Landscaping,,(480) 395-4072,,,https://www.yelp.com/biz/granados-landscaping-phoenix,6 hours,6,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/D1sVqoEkn7JZ80J0ZSEV,4,70,"responds in 6h (+30); phone (+15); in GHL, never emailed (+15)",,,
37,Handyman Connection of Phoenix,Handyman,,(602) 313-1336,,,https://www.yelp.com/biz/handyman-connection-of-phoenix-phoenix-7,6 hours,6,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/U8eBqvgaM3c8MKTU2rqL,4,70,"responds in 6h (+30); phone (+15); in GHL, never emailed (+15)",,,
38,Hdz Carpentry,Contractors,Richard Hernandez,602-582-4535,,,https://www.yelp.com/biz/hdz-carpentry-phoenix,6 hours,6,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/be50ox5EdmX62yelM43a,4,70,"responds in 6h (+30); phone (+15); in GHL, never emailed (+15)",,,
39,Homey Property Care,Window Cleaning,Francisco Cisneros,(928) 388-7763,homeypropertycare@gmail.com,,https://www.yelp.com/biz/homey-property-care-phoenix,Unknown,,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/oPsQGAiPA0X6iH41vmkL,5,70,"response unknown (+10); phone (+15); email (+15); sequence finished, warm (+20)",,,
40,Kindly Pest,Pest Control,,,,https://kindlypest.com/,,24 hours,24,not_in_ghl,,4,70,responds in 1d (+40); website (+10); not in GHL yet (+10),,,
41,One Home Solution,Handyman & Home Repair Services,,(866) 201-5856,,https://onehomesolution.com/arizona/,,"4+ hours (Serves entire Maricopa County, likely longer scheduling times)",4,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/a2GIfppJbg1OR9AFECt1,4,70,"responds in 4h (+20); phone (+15); website (+10); in GHL, never emailed (+15)",,,
42,Sonoran Window Cleaning,Window Cleaning,,(480) 493-2484,,sonoranwindowcleaning.com,https://www.yelp.com/biz/sonoran-window-cleaning-phoenix,5 hours,5,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/zZydBEFUtrpLfMqZr1D2,4,70,"responds in 5h (+20); phone (+15); website (+10); in GHL, never emailed (+15)",,,
43,AMS (Arizona Maintenance Services),Landscaping & Yard Maintenance,Eli (mentioned in reviews),(602) 944-0421,,https://azlawns.com/,,4+ hours (Same day estimates but maintenance scheduling likely longer),4,not_in_ghl,,4,65,responds in 4h (+20); phone (+15); website (+10); not in GHL yet (+10),,,
44,Crystal Clear Choice Window Cleaning,Window Cleaning,,602-824-8832,,https://www.cccwindowcleaning.com/contact,,Unknown,,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/JWJCfQZP93Zr6xMaq6qF,3,65,"response unknown (+10); phone (+15); website (+10); sequence finished, warm (+20)",,,
45,Factory Direct Windows,Windows & Doors,Unknown,,travis@factorydirectwindows.com,,https://www.yelp.com/biz/factory-direct-windows-phoenix,1 day,24,dead,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/9jL8fknRbzxX52aT5z5O,5,65,responds in 1d (+40); email (+15); no phone or email in GHL (0),,,
46,Paradise Window Cleaning,Window Cleaning,,480-289-1111,,https://paradisewindowcleaning.org/,,Unknown - needs verification,,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/JWJCfQZP93Zr6xMaq6qF,3,65,"response unknown (+10); phone (+15); website (+10); sequence finished, warm (+20)",,,
47,Phoenix Window Cleaning,Window Cleaning,AM Pros,602-663-9326,,https://phoenixwindowcleaning.com,,Unknown - needs verification,,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/JWJCfQZP93Zr6xMaq6qF,4,65,"response unknown (+10); phone (+15); website (+10); sequence finished, warm (+20)",,,
48,Pro Natural Landscape LLC,Landscaping,Elmer ,(602) 643-9342,,https://pronaturallandscape.com/,,Unknown,,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/maZd3zxrwCwMgY3jaggJ,4,65,"response unknown (+10); phone (+15); website (+10); sequence finished, warm (+20)",,,
49,Reparo Landscaping,Landscape Contractor,Not provided,Not provided,,Not provided,https://www.yelp.com/biz/reparo-landscaping-glendale-2,4 hours,4,not_in_ghl,,4,65,responds in 4h (+20); phone (+15); website (+10); not in GHL yet (+10),,,
50,Salvador Landscaping,Landscaping,Not available,Not available,,Not available,https://www.yelp.com/biz/salvador-landscaping-phoenix,5 hrs,5,not_in_ghl,,3,65,responds in 5h (+20); phone (+15); website (+10); not in GHL yet (+10),,,
51,Windows and Doors Near Me,Windows & Doors,,,,,https://www.yelp.com/search?find_desc=Windows+And+Doors&find_loc=Phoenix%2C+AZ,1 day,24,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/AWRt6v9PvjGhYZKuv5pk,4,65,"responds in 1d (+40); in GHL, never emailed (+15)",,,
52,AAA Landscape,Landscaping,,602.437.2690,,https://www.aaalandscape.com/,,Unknown - requires further investigation,,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/OVlkstwySGLLznXjKUJA,4,60,"response unknown (+10); phone (+15); website (+10); in GHL, never emailed (+15)",,,
53,Arizona Blinds and More,Shades & Blinds,,,,,https://www.yelp.com/search?cflt=blinds&find_loc=Phoenix%2C+AZ,8 hours,8,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/mqQnYEQ7KPGs6YCrg0tn,4,60,"responds in 8h (+30); sequence finished, warm (+20)",,,
54,Arizona Lawn & Garden,Landscaping,,855-707-5914,,https://azlawnandgarden.com,,Unknown - needs verification,,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/Mk1xraNDr8C4sJ6i4YPZ,4,60,"response unknown (+10); phone (+15); website (+10); in GHL, never emailed (+15)",,,
55,Camelback Hardscapes,Landscaping/Hardscaping,Unknown,480-600-8011,,,https://www.yelp.com/biz/camelback-hardscapes-scottsdale,3+ hours,3,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/yvQwevHn3EydZnSxKtc2,3,60,"responds in 3h (+20); phone (+15); in GHL, never emailed (+15)",,,
56,Dan the Handyman,Handyman,,(480) 408-5601,,,https://www.yelp.com/biz/dan-the-handyman-phoenix,5 hours,5,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/rWHF5dKjnovagjgXqJIW,4,60,"responds in 5h (+20); phone (+15); in GHL, never emailed (+15)",,,
57,Daniel Landscaping,Landscaping,,(480) 749-3299,,,,4 hours,4,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/c2Lqr44eAtzRWF4lz2nr,4,60,"responds in 4h (+20); phone (+15); in GHL, never emailed (+15)",,,
58,Desert Sage Landscaping,Landscaping,Hector Alvarez,(602) 664-0346,,https://desertsagelandscape.com/,https://www.yelp.com/biz/desert-sage-landscaping-phoenix-3,Unknown,,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/oLMQKD47Rc85WhypTcNF,4,60,"response unknown (+10); phone (+15); website (+10); in GHL, never emailed (+15)",,,
59,EL Construction,General Contractors,,,,,,1 day,24,not_in_ghl,,5,60,responds in 1d (+40); not in GHL yet (+10),,,
60,Ezequiel's Landscaping,Landscaping,Ezequiel,(602) 487-2702,,https://www.ezequielslandscapingphx.com/,,Unknown,,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/211N9W5WYoACP2QftNnE,4,60,"response unknown (+10); phone (+15); website (+10); in GHL, never emailed (+15)",,,
61,Fish Window Cleaning,Window Cleaning,,602-441-2566,,https://www.fishwindowcleaning.com/Phoenix-AZ-3006/,https://m.yelp.com/search?find_desc=fish+window+cleaning&find_loc=Phoenix%2C+AZ,Unknown - needs verification,,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/yIMEaD9IKYY9OB1TOQGa,4,60,"response unknown (+10); phone (+15); website (+10); in GHL, never emailed (+15)",,,
62,Five Star Handyman Services,Handyman,Tom M.,(480) 797-5499,,,https://www.yelp.com/biz/five-star-handyman-services-scottsdale-13,3 hrs,3,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/oRjFMYICSHXfWs5mblnn,4,60,"responds in 3h (+20); phone (+15); in GHL, never emailed (+15)",,,
63,Good Times Plumbing & Restoration,Plumbers,Trenton M.,(480) 525-8095,,goodtimesrestoration.com,https://www.yelp.com/biz/good-times-plumbing-and-restoration-chandler-2,2 hours,2,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/4Joa1uL7Jz4YFqLVq4L4,5,60,"responds in 2h, already fast (+5); phone (+15); website (+10); sequence finished, warm (+20)",,,
64,Goodman's Landscape Maintenance,Landscaping,Unknown,602-861-1144,,http://www.goodmanslandscape.com/,https://www.yelp.com/biz/goodmans-landscape-maintenance-llc-phoenix,Unknown,,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/BFzuBvmzc85uFNzd279S,5,60,"response unknown (+10); phone (+15); website (+10); in GHL, never emailed (+15)",,,
65,Gothic Landscape Inc,Landscaping,,602-470-1711,,https://gothiclandscape.com/location/arizona/,,Unknown,,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/30lONUBcLXyaGH1BezZP,4,60,"response unknown (+10); phone (+15); website (+10); in GHL, never emailed (+15)",,,
66,Jay's Window Cleaning,Window Cleaning,Unknown,602-399-3556,,https://jayswindowcleaning.com/,Unknown,30 minutes,0.5,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/JWJCfQZP93Zr6xMaq6qF,3,60,"responds in 0.5h, already fast (+5); phone (+15); website (+10); sequence finished, warm (+20)",,,
67,JCast Landscaping,Landscaping,,,,,https://www.yelp.com/biz/jcast-landscaping-phoenix,1 day,24,not_in_ghl,,3,60,responds in 1d (+40); not in GHL yet (+10),,,
68,Landscaping Contractors CRG LLC,Landscaping,Chuck Giordano,(602) 548-1088,,https://landscapingcontractorsaz.com/,Not available,Unknown,,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/XSxahAezTUE9qYBDCE9J,4,60,"response unknown (+10); phone (+15); website (+10); in GHL, never emailed (+15)",,,
69,Outside Cleaning Services,Window Cleaning,,,,,https://www.yelp.com/biz/outside-cleaning-services-phoenix,1 day,24,not_in_ghl,,3,60,responds in 1d (+40); not in GHL yet (+10),,,
70,Sal's Landscape Construction (already in ),Landscapers,Salvador G.,(602) 669-9410,,salslandscapeconstruction.com,https://www.yelp.com/biz/sal-s-landscape-construction-phoenix,2 hours,2,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/Y4hCNM952439m1EpQTCK,5,60,"responds in 2h, already fast (+5); phone (+15); website (+10); sequence finished, warm (+20)",,,
71,TrueWest Contracting LLC,General Contractors,,(602) 676-0330,,,https://m.yelp.com/biz/truewest-contracting-llc-phoenix,3 hours,3,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/G9PZ2rFZWzASIFdzfGU9,4,60,"responds in 3h (+20); phone (+15); in GHL, never emailed (+15)",,,
72,Window Pros AZ,Shades & Blinds,,(602) 626-3705,,,https://www.yelp.com/biz/window-pros-az-phoenix-2,3 hours,3,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/cs8C5ktKMlu1AbxzUfxe,4,60,"responds in 3h (+20); phone (+15); in GHL, never emailed (+15)",,,
73,Cold Fusion Mechanical,HVAC,,480.518.4249,,https://cfmphoenix.com/,,1 hour,1,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/OGmsn7MdoUAbOcRofquZ,4,55,"responds in 1h, already fast (+5); phone (+15); website (+10); in GHL, never emailed (+15)",,,
74,Fix It All Handyman Services,Handyman/Plumbing/Electricians,Omar W.,(602) 754-0222,,Not available,https://www.yelp.com/biz/fix-it-all-handyman-services-scottsdale-4,2 hrs,2,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/dVizr4Miy4gx10No9ZNN,4,55,"responds in 2h, already fast (+5); phone (+15); website (+10); in GHL, never emailed (+15)",,,
75,Gary The Handyman Guy,Plumbers,Gary M.,(602) 390-9204,,,https://www.yelp.com/biz/gary-the-handyman-guy-phoenix,1 day,24,not_in_ghl,,2,55,responds in 1d (+40); phone (+15); not in GHL yet (+10); CSV: no website (-10); CSV scored 2/5 (-10),,,
76,Goodman's Landscape,Landscaping,Not specified,(602) 861-1144,,https://www.goodmanslandscape.com/,Not available - found via Google search,Not specified (assumed >2 hours),2,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/BFzuBvmzc85uFNzd279S,5,55,"responds in 2h, already fast (+5); phone (+15); website (+10); in GHL, never emailed (+15)",,,
77,Phoenix Shutters and Blinds,Shades & Blinds,Window Pros,602-491-2241,,https://www.phoenixblindsshuttersshades.com/,https://www.yelp.com/biz/phoenix-shutters-and-blinds-phoenix,Under 2 hours,2,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/zLuxEAkGuoPpY2AmGquz,4,55,"responds in 2h, already fast (+5); phone (+15); website (+10); in GHL, never emailed (+15)",,,
