#,Score,Business,Owner,PHONE,Their Response Time,Trade,Website,Yelp,Called?,Notes
1,5,Phoenix Handyman Home Repair,Joe Vaughan,(602) 550-2139,"3+ hours (Single owner operation, available weekends for emergency)",Handyman & Home Repair,https://www.phoenixhandymanhomerepair.com/,,,
52,4,"About Blind Cleaning, Inc",Jim (Owner mentioned in reviews),(602) 404-7250,4+ hours (Limited business hours Mon-Fri 10am-4pm),Blind & Window Cleaning Services,https://www.blindcleaningarizona.com/,,,
53,4,One Home Solution,,(866) 201-5856,"4+ hours (Serves entire Maricopa County, likely longer scheduling times)",Handyman & Home Repair Services,https://onehomesolution.com/arizona/,,,
54,4,Daniel Landscaping,,(480) 749-3299,4 hours,Landscaping,,,,
55,4,TrueWest Contracting LLC,,(602) 676-0330,3 hours,General Contractors,,https://m.yelp.com/biz/truewest-contracting-llc-phoenix,,
56,4,Desert Blind and Shutter Repair,Heath Eisweirth,(623) 759-5583,3 hours,Shades & Blinds,https://www.desertblindandshutterrepair.com/,https://www.yelp.com/biz/desert-blind-and-shutter-repair-phoenix,,
57,4,Window Pros AZ,,(602) 626-3705,3 hours,Shades & Blinds,,https://www.yelp.com/biz/window-pros-az-phoenix-2,,
58,4,Camelback Hardscapes,,(480) 600-8011,>2 hours,Landscaping/Hardscaping,,https://www.yelp.com/biz/camelback-hardscapes-scottsdale,,
59,4,Professional Window Cleaning,,(480) 839-1707,>2 hours,Window Cleaning,https://www.getmywindowsclean.com,https://www.yelp.com/biz/professional-window-cleaning-phoenix,,
60,4,Spectrum Shades and Shutters,George Lay,(602) 704-5828,>2 hours,Shades & Blinds,https://spectrumshadesandshutters.com,https://www.yelp.com/biz/spectrum-shades-and-shutters-phoenix,,
61,4,Phoenix Windows and Doors,,(602) 899-6260,>2 hours,Windows & Doors,https://phoenixazwindowsanddoors.com,,,
62,4,Squeeky Kleen Windows,,(480) 221-1240,Not specified (assumed >2 hours),Window Cleaning,https://squeekykleenwindows.com/,Not available - found via Google search,,
63,4,Stonecreek Roofing,David Prestwich,(602) 324-3400,2 hours,Roofing,https://stonecreekroofingaz.com,https://www.yelp.com/biz/stonecreek-roofing-phoenix,,
64,4,Turf Monsters,Mike Freeland,(623) 780-7535,2 hours,Landscaping/Artificial Turf,https://turfmonstersaz.com,https://www.yelp.com/biz/turf-monsters-phoenix,,
65,4,Phoenix Shutters and Blinds,Window Pros,(602) 491-2241,Under 2 hours,Shades & Blinds,https://www.phoenixblindsshuttersshades.com/,https://www.yelp.com/biz/phoenix-shutters-and-blinds-phoenix,,
66,4,Cold Fusion Mechanical,,(480) 518-4249,1 hour,HVAC,https://cfmphoenix.com/,,,
