Category,Business Name,Owner Name,Response Time,Phone,Website,Yelp URL,Purchase Likelihood (1-5),EMAIL
Window Cleaning,Squeeky Kleen Windows,Not specified,Not specified (assumed >2 hours),(480) 221-1240,https://squeekykleenwindows.com/,Not available - found via Google search,4,
General Contractors,TrueWest Contracting LLC,,3 hours,(602) 676-0330,,https://m.yelp.com/biz/truewest-contracting-llc-phoenix,4,
Window Cleaning,Sky View Window Cleaning LLC,Luis,1 day,(623) 349-7012,skyviewwindowcleaningllc.com,https://www.yelp.com/biz/sky-view-window-cleaning-phoenix-4,4,
Landscaping,Desert Sage Landscaping,Hector Alvarez,Unknown,(602) 664-0346,https://desertsagelandscape.com/,https://www.yelp.com/biz/desert-sage-landscaping-phoenix-3,4,
Roofing,Stonecreek Roofing,David Prestwich,2 hours,(602) 324-3400,https://stonecreekroofingaz.com,https://www.yelp.com/biz/stonecreek-roofing-phoenix,4,
Flooring,Smarter Home Flooring,,3 hours,,,https://www.yelp.com/biz/smarter-home-flooring-phoenix,4,
Cleaning Services,Anago Cleaning,,2 hours,,https://anagocleaning.com/phoenix/janitorial-services/movie-theaters/,,4,
Pest Control,Kindly Pest,,24 hours,,https://kindlypest.com/,,4,
HVAC,Cold Fusion Mechanical,,1 hour,480.518.4249,https://cfmphoenix.com/,,4,
Appliance Repair,Phoenix Appliance Repair,,5 hours,,,https://www.yelp.com/biz/phoenix-appliance-repair-gilbert-2,4,
Garage Door Repair,Quick Response Garage Door Service,,3 hours,,https://quickresponsegaragedoorservice.com/,,4,
Locksmith,Johnny Phoenix Locksmith,,2 hours,,,,4,
Landscaping/Artificial Turf,Turf Monsters,Mike Freeland,2 hours,(623) 780-7535,https://turfmonstersaz.com,https://www.yelp.com/biz/turf-monsters-phoenix,4,
Shades & Blinds,Desert Blind and Shutter Repair,Heath Eisweirth,3 hours,(623) 759-5583,https://www.desertblindandshutterrepair.com/,https://www.yelp.com/biz/desert-blind-and-shutter-repair-phoenix,4,
Lawn Care,Lucas Lawn and Yard Care,,8 hrs,,,,4,
Landscaping,Torus Landscape,,3 hrs,,,,4,
General Contractor,Arizona General Contractor,,4 hours,,,https://www.yelp.com/biz/arizona-general-contractor-tempe,4,
Windows & Doors,Affordable Windows Plus Exteriors,,2 hours,,,https://www.yelp.com/biz/affordable-windows-plus-exteriors-gilbert-2,4,
Awnings & Shades,Liberty Awnings and Shades,,3 hrs,,,https://www.yelp.com/biz/liberty-awnings-and-shades-phoenix,4,
Landscaping,Daniel Landscaping,,4 hours,(480) 749-3299,,,4,
Landscaping,Ezequiel's Landscaping,Ezequiel,Unknown,(602) 487-2702,https://www.ezequielslandscapingphx.com/,,4,
General Contractors,Gibson's,,12 hours,,,https://www.yelp.com/search?cflt=contractors&find_loc=Phoenix%2C+AZ,4,
Remodeling Contractors,TraVek Remodeling & Roofing,,3+ days,,,https://www.yelp.com/search?find_desc=Licensed+General+Contractor&find_loc=Phoenix%2C+AZ,4,
Remodeling Contractors,AZ Remodel,,3+ days,,,https://www.yelp.com/search?find_desc=Construction+Contractor&find_loc=Phoenix%2C+AZ,4,azremodelpros@gmail.com
Windows & Doors,Windows and Doors Near Me,,1 day,,,https://www.yelp.com/search?find_desc=Windows+And+Doors&find_loc=Phoenix%2C+AZ,4,
Shades & Blinds,Austin Pierce Designs,Austin Pierce,5 hours,,,https://www.yelp.com/search?find_desc=Custom+Window+Treatments&find_loc=Maricopa%2C+AZ,4,
Window Cleaning,Phoenix Window Cleaning,,Unknown - needs verification,602-663-9326,https://phoenixwindowcleaning.com,,4,
Landscaping,Haley's Landscaping and Home Services,,Unknown - needs verification,602-642-7477,,https://www.yelp.com/biz/haleys-landscaping-and-home-services-phoenix,4,
Shades & Blinds,AZ Blinds Express,,Unknown - needs verification,,https://azblindsexpress.com/phoenix/,,4,
Shades & Blinds,Sunburst Shutters Phoenix,,Unknown - needs verification,,https://www.sunburstshuttersaz.com/,,4,
Shades & Blinds,Arizona Window Covering Company,,Unknown - needs verification,602-600-0206,https://arizonawcc.com,,4,office@arizonawcc.com
Shades & Blinds,A to Z Shades,,Unknown - needs verification,,https://atozshadesandshutters.com/,,4,
Landscaping,Arizona Lawn & Garden,,Unknown - needs verification,855-707-5914,https://azlawnandgarden.com,,4,
Shades & Blinds,Window Pros AZ,,3 hours,(602) 626-3705,,https://www.yelp.com/biz/window-pros-az-phoenix-2,4,
Shades & Blinds,Phoenix Shutters and Blinds,Window Pros,Under 2 hours,602-491-2241,https://www.phoenixblindsshuttersshades.com/,https://www.yelp.com/biz/phoenix-shutters-and-blinds-phoenix,4,
Handyman,Anthem Handyman Services,Tom J. (Tom Janko),12 hrs,,,https://www.yelp.com/biz/anthem-handyman-services-anthem-3,4,
Countertop Installation,MAJ Countertops,Jonathan G.,1 day,(480) 650-6156,,https://www.yelp.com/biz/maj-countertops-phoenix-2,4,
Handyman/Plumbing/Electricians,Fix It All Handyman Services,Omar W.,2 hrs,(602) 754-0222,Not available,https://www.yelp.com/biz/fix-it-all-handyman-services-scottsdale-4,4,
Handyman/Roofing/Pressure Washing,iFixPhx,,4 hrs,,,https://www.yelp.com/biz/ifixphx-glendale,4,
Handyman/Drywall/Lighting,AZ Home Repair Specialists,Steve B.,4 hrs,,,https://www.yelp.com/biz/az-home-repair-specialists-phoenix,4,
Contractors,Marshall Renovations,John,3 hours,,,https://www.yelp.com/biz/marshall-renovations-tempe,4,
Contractors,Hdz Carpentry,Richard Hernandez,6 hours,602-582-4535,,https://www.yelp.com/biz/hdz-carpentry-phoenix,4,
Landscape Contractor,Reparo Landscaping,Not provided,4 hours,Not provided,Not provided,https://www.yelp.com/biz/reparo-landscaping-glendale-2,4,
Window Cleaning,Sky View Window Cleaning,Luis,2 hrs,,,https://www.yelp.com/biz/sky-view-window-cleaning-phoenix-4,4,
General Contractors,R H Design & Build,,5 hrs,,,https://www.yelp.com/biz/r-h-design-and-build-scottsdale,4,
Windows and Doors,Vision Windows & Doors,Craig H.,2 hrs,(602) 430-7614,,https://www.yelp.com/biz/vision-windows-and-doors-phoenix-3,4,
Handyman,Five Star Handyman Services,Tom M.,3 hrs,(480) 797-5499,,https://www.yelp.com/biz/five-star-handyman-services-scottsdale-13,4,
Shades & Blinds,Boyd's Blinds,,3 hrs,,,https://www.yelp.com/biz/boyds-blinds-phoenix,4,
Handyman,Garcia's Handyman,Jesús Garcia,9 hrs,,,https://www.yelp.com/biz/garcias-handyman-phoenix-2,4,
HVAC/Plumbing,Rite Way,R. Walter W.,7 hours,(602) 889-8600,ritewayaz.com,https://www.yelp.com/biz/rite-way-gilbert-2,4,
Window Cleaning,Sonoran Window Cleaning,,5 hours,(480) 493-2484,sonoranwindowcleaning.com,https://www.yelp.com/biz/sonoran-window-cleaning-phoenix,4,
Handyman,Dan the Handyman,,5 hours,(480) 408-5601,,https://www.yelp.com/biz/dan-the-handyman-phoenix,4,
Handyman,Handyman Connection of Phoenix,,6 hours,(602) 313-1336,,https://www.yelp.com/biz/handyman-connection-of-phoenix-phoenix-7,4,
Plumbers,Crew Of Two Phoenix,Virginia A.,2 hours,(480) 217-2788,crewoftwophoenix.com,https://www.yelp.com/biz/crew-of-two-phoenix-phoenix-3,3,
Roofers,North Canyon Roofing and Coating,Eric T.,2 hours,(602) 469-9479,,https://www.yelp.com/biz/north-canyon-roofing-and-coating-glendale,3,
Home Cleaning,GCM House Cleaning,Cristina H.,2 hours,(602) 348-3071,,https://www.yelp.com/biz/gcm-house-cleaning-phoenix,3,
Landscaping,JCast Landscaping,,1 day,,,https://www.yelp.com/biz/jcast-landscaping-phoenix,3,
Window Cleaning,Krystal Clear Windows,,Unknown,(602) 513-3790,,https://www.yelp.com/biz/krystal-clear-windows-phoenix,3,
Window Cleaning,Outside Cleaning Services,,1 day,,,https://www.yelp.com/biz/outside-cleaning-services-phoenix,3,
HVAC,Arizona Cooling and Heating Specialists LLC,,90 minutes,,https://www.arizonacoolingandheatingspecialistsllc.com,https://www.arizonacoolingandheatingspecialistsllc.com/service-areas/phoenix-az,3,
General Contractors,Old Reliable Construction,,Not specified,(602) 935-1485,,,3,
Window Cleaning,Clean Rite Window Service,,12 hours,,,https://www.yelp.com/biz/clean-rite-window-service-goodyear,3,
Home Services/Handyman,TPG Home Services,,4 hours,(602) 400-2369,,https://www.yelp.com/biz/tpg-home-services-phoenix,3,
Moving Services,Moving At Ease,,4 hours,,,https://www.yelp.com/biz/moving-at-ease-scottsdale,3,
Moving Services,Budget Movers,,3 hours,,,https://www.yelp.com/biz/budget-movers-glendale-2,3,
Windows and Doors,Sunny State Glass,,8 hours,,,https://www.yelp.com/biz/sunny-state-glass-phoenix,3,
Glass & Mirrors,Valleywide Glass,,12 hours,,,https://www.yelp.com/biz/valleywide-glass-phoenix-6,3,
Window Cleaning,Jay's Window Cleaning,Unknown,30 minutes,602-399-3556,https://jayswindowcleaning.com/,Unknown,3,
General Contractor,Exact Building,,4 days,(602) 421-8199,,https://www.yelp.com/biz/exact-building-phoenix,3,
Awnings,Phoenix Awning Company,,12 hrs,,,https://www.yelp.com/search?cflt=awnings&find_loc=Ahwatukee+Foothills+Village%2C+Phoenix%2C+AZ,3,
Window Cleaning,Crystal Clear Choice Window Cleaning,,Unknown,602-824-8832,https://www.cccwindowcleaning.com/contact,,3,
Window Cleaning,Your Window Guy,,4+ hours,(602) 538-1535,,https://www.yelp.com/search?cflt=windowwashing&find_loc=Phoenix%2C+AZ,3,
Handyman,Nate's Extreme Handyman Services,,11 hours,,,https://www.yelp.com/biz/nates-extreme-handyman-services-phoenix,3,
Landscaping,Responsible Landscaping,,4 hrs,(602) 423-4473,,https://www.yelp.com/biz/responsible-landscaping-phoenix,3,
Pool Services,Sunset Pools,,3 hrs,,,,3,
Landscaping,AZ Empire Landscaping,,4 hrs,,,,3,
Handyman Services,Ready Go Handyman LLC,,5 hours,(623) 284-4269,,https://www.yelp.com/search?cflt=handyman&find_loc=Phoenix%2C+AZ,3,
Window Cleaning,SJ Professional Window Cleaning,,4 days,(602) 899-6346,,,3,
Landscaping,Cactus Curbing and Landscaping,,4 hours,,,,3,
General Contractors,Hectors Framing and Construction,Hector,3+ days,,,https://www.yelp.com/search?cflt=contractors&find_loc=Phoenix%2C+AZ,3,
General Contractors,Rebuild Contractors,,5 hours,,,https://www.yelp.com/search?cflt=contractors&find_loc=Phoenix%2C+AZ+85027,3,
Shades & Blinds,Window Treatments Selection Phoenix,,2 hours,,,https://www.yelp.com/search?find_desc=Window+Treatments+Selection&find_loc=Phoenix%2C+AZ,3,
Window Cleaning,Paradise Window Cleaning,,Unknown - needs verification,480-289-1111,https://paradisewindowcleaning.org/,,3,
Landscaping,Phoenix Landscapers,,Unknown - needs verification,480-428-3592,,https://www.yelp.com/biz/phoenix-landscapers-phoenix,3,
Landscaping,RN Landscape,Reynaldo Nicolas,1 day,(602) 423-8278,,https://www.yelp.com/biz/rn-landscape-phoenix-2,3,
Handyman,Handyman Pro Solutions,Pepe R.,3 days,(480) 369-8794,Not available,https://www.yelp.com/biz/handyman-pro-solutions-phoenix-2,3,
Window Cleaning,Clear as Days,,3 hrs,,,https://www.yelp.com/biz/clear-as-days-glendale,3,
Window Cleaning,Blackjacket Surface Cleaning And Soft Wash,,2 hrs,,,https://www.yelp.com/biz/blackjacket-surface-cleaning-and-soft-wash-phoenix,3,
Home Organization / Concierge Services,Busy Bees Concierge & Home Services,Cheryl Fraeger,5 hrs,,,https://www.yelp.com/biz/busy-bees-concierge-and-home-services-scottsdale-2,3,
Flooring,HM Flooring Group,Oscar M.,1 day,(602) 767-2500,hmflooringgroup.com,https://www.yelp.com/biz/hm-flooring-group-phoenix,3,
Plumbers,Reds Rooter,Marty H.,1 week,(602) 516-0041,,https://www.yelp.com/biz/reds-rooter-phoenix,2,
Plumbers,Gary The Handyman Guy,Gary M.,1 day,(602) 390-9204,,https://www.yelp.com/biz/gary-the-handyman-guy-phoenix,2,
Landscapers,Nico's Landscaping,Ruben T.,3 hours,(480) 516-9860,,https://www.yelp.com/biz/nicos-landscaping-avondale-3,2,
Landscapers,Salvador Landscaping,Salvador H.,9 hours,(480) 450-8957,,https://www.yelp.com/biz/salvador-landscaping-phoenix,2,
Windows & Doors,Phoenix Commercial Glazing Contractor,,3 days,,,https://downtobid.com/contractors/glazing/phoenix,2,
Windows & Doors,Phoenix Sliding Doors,,50 minutes,,,https://www.yelp.com/biz/phoenix-sliding-doors-phoenix-2,2,
Home Organization,AZ Home Glow,,50 minutes,,,https://www.yelp.com/search?find_desc=Home+Organization&find_loc=Phoenix%2C+AZ,2,
Windows & Doors,"Affordable Windows, Doors & More",,2 days,,,https://www.yelp.com/search?find_desc=Window+Screens&find_loc=Sahuarita%2C+AZ,2,
Landscaping & Cleaning,Morales Landscaping and Cleaning Services,,>2 hours,(602) 581-9230,,https://www.yelp.com/biz/morales-landscaping-and-cleaning-services-phoenix-2,2,
General Contractors,Better Than New Contractors,,10 hours,,,https://www.yelp.com/search?find_desc=Contractors&find_loc=Phoenix%2C+AZ,2,
Windows & Doors,Window Installation Phoenix,,4 hours,,,https://www.yelp.com/search?find_desc=Window+Installation&find_loc=Phoenix%2C+AZ,2,
Handyman,Hammertime Handyman Services,,2 days,,,https://www.yelp.com/biz/hammertime-handyman-services-tempe-5,2,
Windows & Doors,Desert King Windows,,10 minutes,,,https://www.yelp.com/biz/desert-king-windows-phoenix-2,1,
,,,,,,,,admin@azlawns.com
Landscaper,SOl Seekers,Dave,3 hours,(623) 335-5157,,,,
