#,ICP Tier,Why,Score,Business,Phone,Response Time,Trade,Called?,Notes
55,C-UNKNOWN,? unknown response time,4,Gothic Landscape Inc,(602) 470-1711,Unknown,Landscaping,,
56,C-UNKNOWN,? unknown response time,4,Desert Sage Landscaping,(602) 664-0346,Unknown,Landscaping,,
57,C-UNKNOWN,? unknown response time,4,Ezequiel's Landscaping,(602) 487-2702,Unknown,Landscaping,,
58,C-UNKNOWN,? unknown response time,4,Phoenix Window Cleaning,(602) 663-9326,Unknown - needs verification,Window Cleaning,,
59,C-UNKNOWN,? unknown response time,4,Haley's Landscaping and Home Services,(602) 642-7477,Unknown - needs verification,Landscaping,,
60,C-UNKNOWN,? unknown response time,4,Arizona Window Covering Company,(602) 600-0206,Unknown - needs verification,Shades & Blinds,,
61,C-UNKNOWN,? unknown response time,4,Arizona Lawn & Garden,(855) 707-5914,Unknown - needs verification,Landscaping,,
62,C-UNKNOWN,? unknown response time,4,Fix It All Handyman Services,(602) 754-0222,2 hrs,Handyman/Plumbing/Electricians,,
63,C-UNKNOWN,? unknown response time,4,Vision Windows & Doors,(602) 430-7614,2 hrs,Windows and Doors,,
64,C-UNKNOWN,? unknown response time,4,Five Star Handyman Services,(480) 797-5499,3 hrs,Handyman,,
65,D-WEAK,already fast (45 minutes) - weaker fit,5,Arizona Tree Works,(602) 596-4447,45 minutes,Tree Service,,
66,D-WEAK,already fast (1 hour) - weaker fit,4,Cold Fusion Mechanical,(480) 518-4249,1 hour,HVAC,,
